Номер мероприятия,Коэффициент Ак,Коэффициент Ск
1,0.02,0.02
2,0.02,0.02
3,0.02,0.02
4,0.02,0.02
5,0.02,0.02
6,0.02,0.02
7,0.02,0.02
8,0.02,0.02
9,0.02,0.02
10,0.02,0.02
11,0.02,0.02
12,0.02,0.02
13,0.02,0.02
14,0.02,0.02
15,0.02,0.02
16,0.02,0.02
17,0.02,0.02
18,0.02,0.02
19,0.02,0.02
20,0.02,0.02
21,0.02,0.02
22,0.02,0.02
23,0.0,0.0
24,0.0,0.0
25,0.34,0.0
26,0.41,0.46
27,0.46,2.27
28,14.49,30.63
29,109.78,5.73
30,10.21,19.44
31,40.53,17.13
32,17.13,0.85
33,0.85,44.03
34,183.03,7.72
35,7.72,22.22
36,28.78,4.0
37,28.78,4.0
38,4.0,0.78
39,0.78,0.46
40,64.22,5.63
41,5.63,0.27
42,0.27,3.55
43,7.65,1.6
44,1.6,1.88
45,12.43,1.05
46,1.05,1.49
47,22.86,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
